NP_001119777.1	actin, muscle
NP_001119778.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
NP_001119779.1	voltage-gated proton channel
NP_001119780.1	cytidine monophospho-N-acetylneuraminic acid synthetase
NP_001119781.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 8
NP_001119782.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 9
NP_001121538.1	soluble epoxide hydrolase-like protein 1
NP_001121539.1	soluble epoxide hydrolase-like protein 2
NP_001121540.1	activin B
NP_001123278.1	nuclear factor, erythroid derived 2
NP_001123279.1	Ecr/Fxr protein
NP_001123280.1	T-box 2/3 protein
NP_001123281.1	lefty precursor
NP_001123282.1	distal-less homeobox
NP_001123283.1	NK2 homeodomain protein
NP_001123284.1	forkhead transcription factor G
NP_001123285.1	iroquois homeobox A
NP_001123286.1	hepatic leukemia factor
NP_001123287.1	E2F transcription factor 3
NP_001123288.3	telomerase reverse transcriptase-long isoform 2
NP_001124190.1	argonaute 1
NP_001135850.1	uncharacterized protein LOC577155
NP_001135851.1	src family kinase 7
NP_001135853.2	src family kinase 5
NP_001138446.2	two-pore calcium channel 1 isoform 1
NP_001138447.1	glass
NP_001138448.1	two-pore calcium channel 2
NP_001138449.1	two-pore calcium channel 3
NP_001138965.1	glypican-6 precursor
NP_001138966.1	glypican-5 precursor
NP_001139665.1	vasa protein
NP_001139666.1	sodium-dependent alanine transporter 3
NP_001139667.1	sodium-dependent alanine transporter 2
NP_001154909.1	extracellular transglutaminase
NP_001154910.1	NAD kinase
NP_001154911.1	transglutaminase, nuclear
NP_001157279.1	mannosyl-oligosaccharide glucosidase
NP_001159462.1	synaptotagmin I
NP_001164286.1	fertilization envelope protein 1 precursor
NP_001164287.1	Ste20-like protein kinase
NP_001164288.1	strongylocin 1 precursor
NP_001164289.2	strongylocin 2 precursor
NP_001165523.1	Fibroblast growth factor receptor-like 1 precursor
NP_001171981.1	Rho kinase
NP_001186878.1	RNA granule protein invertebrate
NP_001189420.1	Kruppel-like factor 7
NP_001191242.1	ankyrin-containing gene specific for apical tuft-1
NP_001229579.1	ribosomal protein L36
NP_001229580.1	ribosomal protein S14
NP_001229581.1	enoyl CoA hydratase, short chain, 1, mitochondrial
NP_001229582.1	ras homolog gene family, member
NP_001229584.1	Rho GDP dissociation inhibitor (GDI)
NP_001229589.1	transketolase
NP_001229590.1	aarF domain containing kinase 2-like
NP_001229591.1	diphthine synthase
NP_001229593.1	ribosomal protein L21-like
NP_001229594.1	enoyl CoA hydratase 1, peroxisomal-like
NP_001229595.1	small nuclear ribonucleoprotein polypeptide E-like
NP_001229596.1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)-like
NP_001229598.1	C-4 methylsterol oxidase-like
NP_001229606.1	adenylate kinase 3-like
NP_001229607.1	cell division cycle 42 (GTP binding protein, 25kDa)-like
NP_001229608.1	ras homolog gene family, member C-like
NP_001229612.1	uncharacterized protein LOC585781
NP_001229613.1	cysteine synthase-like
NP_001229614.1	3-oxoacyl-acyl-carrier-protein reductase-like
NP_001229615.1	histone H2B-like
NP_001229616.1	proteasome 26S subunit subunit 4 ATPase-like
NP_001229617.1	adenylate kinase 2, mitochondrial-like
NP_001229618.1	uncharacterized protein LOC578025
NP_001229623.1	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)-like
NP_001229629.1	fibropellin-1 precursor
NP_001229632.1	hatching enzyme precursor
NP_001232900.1	anoctamin-10
NP_001232902.1	anoctamin-7
NP_001239013.1	polyketide synthase 2
NP_001242990.1	ornithine decarboxylase antizyme 1
NP_001243005.1	ADP-ribosyl cyclase isoform 4
NP_001268680.1	ATP-binding cassette, sub-family B (MDR/TAP), member 4
NP_001268681.1	zinc finger protein 764-like
NP_001268682.1	glycoprotein hormone alpha-2 precursor
NP_001268683.1	glycoprotein hormone beta-5-like precursor
NP_001268684.1	SIX homeobox 1
NP_001268685.1	uncharacterized LOC586619
NP_001268686.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 7
NP_001268687.1	glycoprotein hormone alpha-2 precursor
NP_001268688.1	ATP-binding cassette sub-family C member 9
NP_001268689.1	ATP-binding cassette transporter subfamily C member 5a
NP_001268690.1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
NP_001278230.1	beta-secretase precursor
NP_001292601.1	ATP-binding cassette, sub-family G (WHITE), member 2
NP_001295587.1	prospero homeobox protein 1
NP_001295590.1	protein argonaute-2
NP_001306793.1	cardioacceleratory peptide receptor
NP_001335957.1	vesicle-associated membrane protein isoform 1
NP_001335958.1	vesicle-associated membrane protein isoform 2
NP_001353271.1	cyclin A
NP_001353340.1	ADAM isoform 1
NP_001353670.1	scavenger receptor cysteine-rich protein variant 1 precursor
NP_001354494.1	two-pore calcium channel 1 isoform 1
NP_001354909.1	protein SpAN precursor
NP_006965.1	NADH dehydrogenase subunit 1 (mitochondrion)
NP_006966.1	NADH dehydrogenase subunit 2 (mitochondrion)
NP_006967.1	cytochrome c oxidase subunit I (mitochondrion)
NP_006968.1	NADH dehydrogenase subunit 4L, partial (mitochondrion)
NP_006969.1	cytochrome c oxidase subunit II (mitochondrion)
NP_006970.2	ATP synthase F0 subunit 8 (mitochondrion)
NP_006971.2	ATP synthase F0 subunit 6 (mitochondrion)
NP_006972.1	cytochrome c oxidase subunit III (mitochondrion)
NP_006973.1	NADH dehydrogenase subunit 3 (mitochondrion)
NP_006974.2	NADH dehydrogenase subunit 4 (mitochondrion)
NP_006975.1	NADH dehydrogenase subunit 5 (mitochondrion)
NP_006976.1	NADH dehydrogenase subunit 6 (mitochondrion)
NP_006977.1	cytochrome b (mitochondrion)
NP_999628.1	kinesin heavy chain
NP_999630.1	27 kDa primary mesenchyme-specific spicule protein precursor
NP_999631.1	3 alpha procollagen precursor
NP_999632.1	63 kDa sperm flagellar membrane protein precursor
NP_999633.1	77 kDa echinoderm microtubule-associated protein
NP_999634.1	actin related protein 1
NP_999635.2	ADAM isoform 2
NP_999636.2	cortical granule serine protease 1 precursor
NP_999637.2	transcription factor SoxD1
NP_999638.1	transcription factor SoxB2
NP_999639.1	transcription factor SoxB1
NP_999641.1	18kDa egg cortical vesicle protein precursor
NP_999642.1	alphaP integrin precursor
NP_999643.1	calreticulin precursor
NP_999647.2	scavenger receptor cysteine-rich protein
NP_999649.1	scavenger receptor cysteine-rich protein variant 2 precursor
NP_999651.1	DD104 protein, upregulated upon bacterial challenge and trauma precursor
NP_999653.2	DD186 protein, upregulated upon bacterial challenge
NP_999654.1	myosin VI
NP_999655.1	myosin V
NP_999656.2	kinesin-like protein KIF15
NP_999657.1	gamma tubulin 2
NP_999658.2	30 kDa yolk granule protein YP30 precursor
NP_999659.1	KRP110
NP_999660.1	KRP170
NP_999661.1	dystrophin-like protein
NP_999662.2	zinc finger protein similar to Kruppel
NP_999663.1	goosecoid transcription factor
NP_999664.1	cyclin D
NP_999665.1	nuclear intermediate filament protein
NP_999666.1	cell division control protein 6
NP_999669.2	cortical vesicle protein CV34-53 precursor
NP_999670.1	toll-like receptor Tlr1.1 precursor
NP_999671.1	toll-like receptor Tlr1.2 precursor
NP_999672.1	secreted frizzled-related protein precursor
NP_999673.2	paired class homeodomain repressor
NP_999674.1	alpha-1 collagen precursor
NP_999675.1	alpha-2 collagen
NP_999676.1	alpha2(IV)-like collagen precursor
NP_999677.1	arylsulfatase precursor
NP_999680.1	33 kDa inner dynein arm light chain, axonemal
NP_999681.1	beta 1,3-glucanase precursor
NP_999683.1	bindin precursor
NP_999684.1	protein ENDO16 precursor
NP_999685.1	CCAAT-binding transcription factor subunit A
NP_999686.1	complement component C3 precursor
NP_999687.1	creatine kinase, flagellar
NP_999688.1	cAMP-dependent protein kinase type II regulatory subunit
NP_999689.1	cyclin-dependent kinase 4
NP_999692.1	actin, cytoskeletal 3B
NP_999694.1	actin, cytoskeletal 3A
NP_999695.1	97 kDa heat shock protein
NP_999696.1	fibropellin-2 precursor
NP_999697.1	ER calcistorin precursor
NP_999698.1	ets homolog
NP_999699.1	Ets4 transcription factor
NP_999701.1	fascin
NP_999702.1	fibroblast growth factor receptor precursor
NP_999703.1	fibropellin-3 precursor
NP_999704.1	GATA transcription factor
NP_999705.1	speract receptor precursor
NP_999706.1	histone H2B.1, sperm
NP_999707.1	histone H4
NP_999708.1	high mobility group protein 1 homolog
NP_999711.1	histone deacetylase 1
NP_999712.1	histone H3, embryonic
NP_999713.1	histone H4
NP_999714.1	histone H1, early embryonic
NP_999715.1	histone H4
NP_999716.1	histone H4
NP_999717.1	late histone H2B.L1
NP_999718.1	late histone H2A.L3
NP_999719.1	late histone H2B.L3
NP_999720.1	histone H1-gamma, late
NP_999721.1	histone H2B.2, sperm
NP_999722.1	histone H1-delta
NP_999723.1	histone H1-beta, late embryonic
NP_999724.1	3-hydroxy-3-methylglutaryl-coenzyme A reductase
NP_999725.1	homeobox protein HB1
NP_999726.1	homeobox protein Hmx
NP_999727.1	homeodomain protein Not
NP_999728.1	bone morphogenetic protein 1 homolog precursor
NP_999729.1	hyperpolarization-activated (Ih) channel
NP_999730.1	integrin beta-C subunit precursor
NP_999731.2	integrin beta L subunit precursor
NP_999733.1	katanin p60 ATPase-containing subunit A1
NP_999735.1	kinesin light chain isoform 4
NP_999736.1	kinesin light chain isoform 3
NP_999737.1	kinesin light chain isoform 2
NP_999738.1	kinesin light chain isoform 1
NP_999739.2	Blimp1/Krox1b isoform 2
NP_999740.1	major yolk protein precursor
NP_999741.2	metallothionein-B
NP_999742.2	metallothionein-A
NP_999743.2	mitochondrial ATP synthase alpha subunit precursor
NP_999744.1	myc protein
NP_999752.1	vesicle-fusing ATPase
NP_999753.2	homeobox protein OTX isoform alpha
NP_999754.1	ovarian synaptosome-associated protein 25 homolog
NP_999757.1	P3A1 protein
NP_999758.1	DNA-binding protein P3A2
NP_999759.1	paired box protein
NP_999760.1	profilin
NP_999761.1	radial spokehead
NP_999762.1	scavenger receptor cysteine-rich protein type 12 precursor
NP_999763.1	scavenger receptor cysteine-rich protein type 5 precursor
NP_999764.1	scavenger receptor cysteine-rich protein precursor
NP_999765.1	seawi
NP_999766.1	30 kDa spicule matrix protein precursor
NP_999767.2	protein SpAN precursor
NP_999768.1	calcium-binding protein SPEC 1A
NP_999769.1	calcium-binding protein SPEC 2C
NP_999770.2	calcium-binding protein SPEC 2D
NP_999771.1	sperm-activating peptides
NP_999772.1	egg peptide speract receptor precursor
NP_999773.1	sperm receptor for egg jelly precursor
NP_999774.1	homeodomain protein
NP_999775.2	50 kDa spicule matrix protein precursor
NP_999776.1	spicule matrix protein SM37 precursor
NP_999777.1	kinesin-II 85 kDa subunit
NP_999778.1	homeodomain protein
NP_999779.1	SpRunt-1 protein
NP_999780.1	40S ribosomal protein S15a
NP_999781.1	DNA-binding protein with twelve Zn fingers
NP_999782.1	SRC8 protein
NP_999783.1	src-family protein tyrosine kinase
NP_999784.1	stage specific activator protein
NP_999785.1	syntaxin
NP_999786.1	TATA-box-binding protein
NP_999787.1	tektin A1
NP_999789.1	tektin-B1
NP_999790.1	testis potassium dependent sodium/calcium
NP_999791.2	thymosin beta
NP_999792.1	transcription factor Elk
NP_999793.1	univin precursor
